"时间","平台","订单","日志类型","价格","数量","消息"
2019-12-17 07:46:00,,,信息,,,7032.6

2019-12-17 07:46:00,,,信息,,,6924.4

2019-12-17 07:50:00,,,信息,,,7032.6

2019-12-17 07:50:00,,,信息,,,6926.05

2019-12-17 07:54:00,,,信息,,,7032.6

2019-12-17 07:54:00,,,信息,,,6925.5

2019-12-17 07:58:00,,,信息,,,7032.6

2019-12-17 07:58:00,,,信息,,,6926.6

2019-12-17 08:00:00,,,信息,,,7032.6

2019-12-17 08:00:00,,,信息,,,6926.8

2019-12-17 08:02:00,,,信息,,,7032.6

2019-12-17 08:02:00,,,信息,,,6926.801

2019-12-17 08:04:00,,,信息,,,7032.6

2019-12-17 08:04:00,,,信息,,,6926.799

2019-12-17 08:06:00,,,信息,,,7032.6

2019-12-17 08:06:00,,,信息,,,6925.9

2019-12-17 08:08:00,,,信息,,,7032.6

2019-12-17 08:08:00,,,信息,,,6926.2

2019-12-17 08:12:00,,,信息,,,7032.6

2019-12-17 08:12:00,,,信息,,,6925.6

2019-12-17 08:20:00,,,信息,,,7032.6

2019-12-17 08:20:00,,,信息,,,6932.8

2019-12-17 08:24:00,,,信息,,,7032.6

2019-12-17 08:24:00,,,信息,,,6931.36

2019-12-17 08:32:00,,,信息,,,7032.6

2019-12-17 08:32:00,,,信息,,,6940.0

2019-12-17 08:36:00,,,信息,,,7032.6

2019-12-17 08:36:00,,,信息,,,6938.56

2019-12-17 08:46:00,,,信息,,,7032.6

2019-12-17 08:46:00,,,信息,,,6947.2

2019-12-17 08:50:00,,,信息,,,7032.6

2019-12-17 08:50:00,,,信息,,,6936.925

2019-12-17 08:54:00,,,信息,,,7032.6

2019-12-17 08:54:00,,,信息,,,6940.35

2019-12-17 08:58:00,,,信息,,,7032.6

2019-12-17 08:58:00,,,信息,,,6933.5

2019-12-17 09:00:00,,,信息,,,7032.6

2019-12-17 09:00:00,,,信息,,,6933.5

2019-12-17 09:02:00,,,信息,,,7032.6

2019-12-17 09:02:00,,,信息,,,6933.501

2019-12-17 09:04:00,,,信息,,,7032.6

2019-12-17 09:04:00,,,信息,,,6933.499

2019-12-17 09:06:00,,,信息,,,7032.6

2019-12-17 09:06:00,,,信息,,,6932.6

2019-12-17 09:08:00,,,信息,,,7032.6

2019-12-17 09:08:00,,,信息,,,6932.9

2019-12-17 09:12:00,,,信息,,,7032.6

2019-12-17 09:12:00,,,信息,,,6932.3

2019-12-17 09:20:00,,,信息,,,7032.6

2019-12-17 09:20:00,,,信息,,,6935.8

2019-12-17 09:24:00,,,信息,,,7032.6

2019-12-17 09:24:00,,,信息,,,6935.1

2019-12-17 09:32:00,,,信息,,,7032.6

2019-12-17 09:32:00,,,信息,,,6939.3

2019-12-17 09:36:00,,,信息,,,7032.6

2019-12-17 09:36:00,,,信息,,,6938.6

2019-12-17 09:46:00,,,信息,,,7032.6

2019-12-17 09:46:00,,,信息,,,6942.8

